1548577298.000000 ccnd[27068]:  ____________________ Sun Jan 27 17:21:38 2019
1548577298.089678 00000000.ccnd[27068]: =======================ex index n: 0
1548577298.089732 00000000.ccnd[27068]: =======================ex index l: 12
1548577298.089737 ccnd[27068]: CCND_DEBUG=1 CCND_CAP=50
1548577298.089739 ccnd[27068]: CCND_DEBUG=1 CCND_CAP_G=50
1548577298.089784 ccnd[27068]: listening on /tmp/.ccnd.sock
1548577298.089800 ccnd[27068]: accepting ipv4 datagrams on fd 4 rcvbuf 212992
1548577298.089809 ccnd[27068]: accepting ipv4 connections on fd 5
1548577298.089819 ccnd[27068]: accepting ipv6 datagrams on fd 6 rcvbuf 212992
1548577298.089827 ccnd[27068]: accepting ipv6 connections on fd 7
1548577298.140433 ccnd[27068]: accepted client fd=8 id=6
1548577298.140496 ccnd[27068]: shutdown client fd=8 id=6
1548577298.140502 ccnd[27068]: recycling face id 6 (slot 6)
1548577299.089299 ccnd[27068]: accepted client fd=8 id=6
1548577299.089877 ccnr[27073]: CCNR_DEBUG=7 CCNR_DIRECTORY=. CCNR_STATUS_PORT=
1548577299.089992 ccnr[27073]: Repository file is indexed
1548577299.091716 ccnd[27068]: accepted client fd=9 id=7
1548577299.100607 ccnd[27068]: accepted datagram client id=8 (flags=0x40012) 192.168.122.102 port 9695
1548577299.106680 ccnd[27068]: shutdown client fd=8 id=6
1548577299.106689 ccnd[27068]: releasing face id 6 (slot 6)
1548577509.000005 ccnd[27068]: #CANUSE#:6038007 #FACE#:8 #SENDAMOUNT#:101139026
1548577510.000004 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:101891255
1548577511.000005 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:103140239
1548577512.000006 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:104389223
1548577513.000005 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:105501008
1548577514.000005 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:106745261
1548577515.000004 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:107994245
1548577516.000005 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:108614371
1548577521.000007 ccnd[27068]: #CANUSE#:6075755 #FACE#:8 #SENDAMOUNT#:108619100
1548577522.000005 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:109286497
1548577523.000004 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:109470967
1548577524.000005 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:110454940
1548577525.000006 ccnd[27068]: #CANUSE#:6094625 #FACE#:8 #SENDAMOUNT#:111623497
1548577526.000004 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:112385188
1548577527.000004 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:113634172
1548577528.000006 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:114883156
1548577529.000005 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:116132140
1548577530.000006 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:117381124
1548577531.000006 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:118630108
1548577532.000005 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:119879092
1548577533.000005 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:120404233
1548577539.000004 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:121176137
1548577540.000004 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:121800497
1548577541.000006 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:122855465
1548577542.000008 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:123834782
1548577543.000005 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:125083766
1548577544.000007 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:126332750
1548577545.000008 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:126824774
1548577546.000006 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:128073758
1548577547.000005 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:129322742
1548577548.000005 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:130571726
1548577549.000004 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:131820710
1548577550.000007 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:132913936
1548577555.000008 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:132918665
1548577556.000005 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:133879322
1548577557.000004 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:134853856
1548577558.000005 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:135478348
1548577559.000006 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:136727332
1548577560.000006 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:137976316
1548577561.000005 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:139225300
1548577562.000006 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:140474284
1548577563.000005 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:140852764
1548577564.000004 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:142016590
1548577565.000006 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:143047948
1548577566.000004 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:144296932
1548577567.000005 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:145063719
1548577573.000004 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:145693275
1548577574.000004 ccnd[27068]: #CANUSE#:9999998 #FACE#:8 #SENDAMOUNT#:146838054
1548577575.000005 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:147462546
1548577576.000005 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:148711530
1548577577.000005 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:149960514
1548577578.000005 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:151209498
1548577579.000005 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:152458482
1548577580.000006 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:153707466
1548577581.000004 ccnd[27068]: #CANUSE#:6500000 #FACE#:8 #SENDAMOUNT#:154956450
1548577582.000005 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:155765451
1548577583.000005 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:157014435
1548577589.000006 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:157824134
1548577591.000006 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:158845907
1548577592.000006 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:159470399
1548577593.000005 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:160719383
1548577594.000005 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:161968367
1548577595.000005 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:163217351
1548577596.000006 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:164466335
1548577597.000005 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:165715319
1548577598.000005 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:166964303
1548577599.000006 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:168213287
1548577600.000007 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:169311244
1548577605.000007 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:169315973
1548577606.000005 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:169940800
1548577607.000007 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:171771574
1548577608.000004 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:172769815
1548577609.000007 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:174018799
1548577610.000007 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:175267783
1548577611.000005 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:176512036
1548577612.000005 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:177756289
1548577613.000004 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:179000542
1548577614.000005 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:180249526
1548577615.000006 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:181423179
1548577621.000007 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:181427908
1548577622.000005 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:182095305
1548577623.000006 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:183840930
1548577624.000005 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:183959205
1548577625.000005 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:185208189
1548577626.000005 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:186457173
1548577627.000004 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:187706157
1548577628.000005 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:188955141
1548577629.000005 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:190204125
1548577630.000005 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:191453109
